,day1,day2,day3,day4,day5
1465,0.31863936396437514,0.31863936396437514,-0.31863936396437514,-0.18431292941459362,-0.18272088004639095
1466,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1467,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1468,-0.31863936396437514,-0.31863936396437514,0.31863936396437514,0.07058672387696063,0.06913013382949894
1469,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.16316404988385333,-0.16940717006176242
1470,0.31863936396437514,0.31863936396437514,-0.31863936396437514,-0.15871165419317115,-0.15831241174123864
1471,1.1503493803760079,1.1503493803760079,-0.31863936396437514,-0.17986053372391145,-0.1793924525502338
1472,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.03738387162208199,-0.03405111855137226
1473,-0.31863936396437514,-0.31863936396437514,0.31863936396437514,0.07281292172230172,-0.18826825920665285
1474,-0.31863936396437514,-0.31863936396437514,1.1503493803760079,1.6756753703678835,1.693402751954181
1475,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.17763433587857036,-0.18826825920665285
1476,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.15091996173447736,-0.150546080916872
1477,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.17763433587857036,-0.17717350088612907
1478,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.1865391272599347,-0.1860493075425481
1479,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.17095574234254712,-0.16940717006176242
1480,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.020687387782023853,-0.005204746918010419
1481,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.14090207143044248,-0.13723237093224344
1482,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.1731819401878882,-0.17051664589381482
1483,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.046288663003446334,-0.04403640103984365
1484,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.10416980698231455,-0.10394809597067209
1485,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.1887653251052758,-0.18826825920665285
1486,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.17986053372391145,-0.17828297671818144
