,day1,day2,day3,day4,day5
1536,-0.05632272243722198,-0.0415908281036256,-0.05165750515781536,0.0,0.0
1537,0.08004586253799009,0.10300523322006637,0.0971942227820686,0.0,0.0
1538,-0.17875583157555106,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1539,-0.1697973113946977,-0.17827929232367815,-0.17940339107637246,0.0,0.0
1540,-0.17875583157555106,-0.1771496355945868,-0.18940089519173783,0.0,0.0
1541,-0.17875583157555106,-0.16472341157458203,-0.1660733855892187,0.0,0.0
1542,-0.17875583157555106,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1543,0.06810116896351895,0.09170866592915293,0.0860858848761071,0.0,0.0
1544,-0.14690331537696136,-0.14777856063821188,-0.14496754356789185,0.0,0.0
1545,-0.16382496460746215,-0.1692420384909474,-0.16718421937981484,0.0,0.0
1546,-0.06826741601169309,-0.06192464922726977,-0.07165251338854603,0.0,0.0
1547,-0.17875583157555106,-0.14551924718002918,-0.14941087873027645,0.0,0.0
1548,-0.17875583157555106,-0.18844620288550024,-0.08720418645689211,0.0,0.0
1549,-0.1548664444266088,-0.16133444138730801,-0.18940089519173783,0.0,0.0
1550,-0.16482035573866805,-0.17263100867822145,-0.18940089519173783,0.0,0.0
1551,-0.13097705727766654,-0.13422267988911576,-0.13719170703371883,0.0,0.0
1552,-0.17875583157555106,-0.1014626347454668,-0.09164752161927672,0.0,0.0
1553,-0.17875583157555106,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1554,-0.17875583157555106,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1555,-0.12102314596560725,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1556,-0.1628295734762562,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1557,-0.15984340008263842,-0.16811238176185608,-0.16940588696100714,0.0,0.0
1558,-0.17278348478831548,-0.18166826251095217,-0.18940089519173783,0.0,0.0
1559,0.3368567743891193,0.3899380424092676,0.37712433801229805,0.0,0.0
1560,-0.17875583157555106,-0.18844620288550024,-0.18717922761054553,0.0,0.0
1561,-0.04139185546913307,-0.009960439689067976,-0.014999990068142436,0.0,0.0
1562,-0.17875583157555106,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1563,-0.028451770763456005,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1564,-0.1777604404443451,-0.18731654615640891,-0.18829006140114168,0.0,0.0
1565,-0.12500471049043096,-0.13648199334729846,-0.14052420840550728,0.0,0.0
1566,-0.10509688786631242,-0.1150185154945629,-0.11719669880298812,0.0,0.0
1567,0.022313176928046293,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1568,1.0595107356446225,1.2168467681041308,1.1924763403098713,0.0,0.0
1569,-0.17875583157555106,0.286009623332864,0.29714430508937534,0.0,0.0
1570,0.2691701774671163,0.3221586386637869,0.3060309754141446,0.0,0.0
1571,-0.17875583157555106,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1572,-0.17875583157555106,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1573,-0.17875583157555106,-0.18844620288550024,-0.18940089519173783,0.0,0.0
1574,-0.1618341823450503,-0.1692420384909474,-0.18940089519173783,0.0,0.0
1575,-0.15387105329540288,-0.16020478465821666,-0.18940089519173783,0.0,0.0
